,chords,view,star,date,url,text
Мушкетёры,"['Bm', 'Em', 'G', 'F#', 'A6', 'A', 'D', 'G/A']",10238,18,30.12.2014,https://amdm.ru/akkordi/knyazz/102935/mushketyori/,"['Вступление: :2/4:', '|', '|', '|', '}x2', 'Что, братцы, за война,', 'Если не пить вина,', 'А с вином – всё путём.', 'Без женского тепла', 'Скучной бы жизнь была,', 'Эх, давай, друг, споём.', 'Кубки вверх!', 'Выпьем за успех!', 'Припев:', 'Говорят, у мушкетёров только', 'На уме вино и женский пол.', 'Но для чего тогда в казарме койка,', 'А в трактире деревянный стол?', 'Отвагой сердца полны,', 'Мы королю верны,', 'Хоть трезвы, да хоть пьяны.', 'В трусости нас зато', 'Не упрекнёт никто.', 'В шпаги мы влюблены.', 'Деньги – прах!', 'К чёрту страх!', 'Припев:', 'Говорят, у мушкетёров только', 'На уме вино и женский пол.', 'Но для чего тогда в казарме койка,', 'А в трактире деревянный стол?', 'И в бою, господа,', 'Страх для нас – сущий вздор.', 'Пей до дна! Пей до дна!', 'Пей до дна, мушкетёр!', 'Синий плащ, герой,', 'Правильный выбор твой.', 'Король и Франция с тобой!', 'Хой!', 'Проигрыш:', '|', '|', '|', '}x2', '|', '|', '|', '}x2', 'Припев:', 'Говорят, у мушкетёров только', 'На уме вино и женский пол.', 'Но для чего тогда в казарме койка,', 'А в трактире деревянный стол?', 'И в бою, господа,', 'Страх для нас – сущий вздор.', 'Пей до дна! Пей до дна!', 'Пей до дна, мушкетёр!', 'Каналья!']"
Наука Билли Бонса,"['Dm', 'Gm', 'A#', 'A', 'F', 'C', 'Em', 'Am', 'B']",24970,57,05.12.2017,https://amdm.ru/akkordi/knyazz/161944/nauka_billi_bonsa/,"['– Тысяча чертей!', '– Разрази меня гром!', '– Якорь тебе в глотку!', '– Жена твоя – каракатица!', '– Чтоб тебе подавиться ядовитой медузой!', '– Да чтобы проклятый осьминог выпил весь ром в твоём желудке!', '}x2', 'Я к ней летел, как мотылёк на свет.', 'Всё было бы прекрасно, но, увы, –', 'Навязанный судьбой авторитет', 'Не вылезал из головы.', 'С бутылкой рома пьяный предок мой,', 'Как в детстве, возникал передо мной.', 'И говорил мне старый Билли Бонс –', 'Слова звучали грозно и всерьёз:', '«Не смей влюбляться, угодишь впросак!»', 'И в стену ржавый свой швырял тесак.', '}x2', 'Как мог старик залезть в мои мозги?', 'С ума сводила скверная игра.', 'Когда мы становились с ней близки,', 'Не те я говорил слова,', 'Вместо комплимента – брань и мат.', 'Девица в слёзы, дед мой рад.', 'И говорил мне старый Билли Бонс –', 'Слова звучали грозно и всерьёз:', '«Не смей влюбляться, угодишь впросак!»', 'И в стену ржавый свой швырял тесак.', 'Десять лет назад', 'В кабачной драке был убит пират.', 'Кто же тебя в ад', 'Отправил? Билли Бонс, ответь,', 'Старый гад.', '(+1 тон)', 'Лишь стоит за порог мне сделать шаг,', 'Как ноги сами топают в кабак.', 'И люди шепчут за моей спиной,', 'Что я один в один, как предок мой.', 'Мне нет покоя, сам тому не рад,', 'Что начинаю думать, как пират.', 'Прогнать дурные мысли нелегко!', 'И снова тянет крикнуть: «Йо-хо-хо!»']"
Норманны,"['Gm', 'F', 'Cm', 'D5', 'C#m', 'D#5', 'Fm', 'C5', 'B']",2257,5,27.01.2021,https://amdm.ru/akkordi/knyazz/180181/normanny/,"['[Вступление]:', '/', '4:---5-6-5--3-5-5----5-6-5--3-5-5-|', '5:--------------------------------|', '6:--3-------------3-3-------------|    x4', '[Куплет 1]:', 'Причалим ли мы к чужим берегам,', 'Иль сгинем в пучине на радость врагам, -', 'Валькирии о подвигах наших', '/', '/', 'Расскажут великим богам!', '/', '4:---5-6-5--3-5-5----5-6-5--3-5-5-|', '5:--------------------------------|', '6:--3-------------3-3-------------|    x2', '[Куплет 2]:', 'Ни Локи, ни змей из бездны морской', 'Не в силах сломить наш дух боевой', 'Здесь нету сопливых мальчишек,', '/', '/', 'Здесь каждый - отважный герой.', '[Припев]:', 'Путь до той звезды, что светит в небе ярче остальных,', 'Смертью нам грозит, но дело того стоит!', 'Один - бог войны - услышит в небе звон клинков стальных.', 'Буря, лютый шторм нас только раззадорят!', 'Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Норманы!', 'Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Норманы!', '/', '4:---5-6-5--3-5-5----5-6-5--3-5-5-|', '5:--------------------------------|', '6:--3-------------3-3-------------|    x2', '[Куплет 3]:', 'Нас Ярл собрал, оружие дал', 'И пир обещал, какого свет не видал,', 'Когда с добычей вернёмся,', '/', '/', 'И кормчий оставит штурвал.', '[Припев]:', 'Путь до той звезды, что светит в небе ярче остальных,', 'Смертью нам грозит, но дело того стоит!', 'Один - бог войны - услышит в небе звон клинков стальных.', 'Буря, лютый шторм нас только раззадорят!', 'Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Норманы!', 'Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Норманы!', '[Соло]:', '6:--3--3-3-6-6-8-8-8--8-6-8-6-3-3-3-5-5-5-2-2-|', 'Ху!        Ху!          Ху!              х4', '/', '/', 'x2', '[Припев]:', 'ХА! Путь до той звезды, что светит в небе ярче остальных,', 'Смертью нам грозит, но дело того стоит!', 'Один - бог войны - услышит в небе звон клинков стальных.', 'Буря, лютый шторм нас только раззадорят!', '[Кода]:', 'Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Норманы!', 'Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Ху-Норманы!']"
Один как тень,"['A#', 'Cm', 'D#', 'F', 'Gm', 'D7']",4068,2,28.06.2016,https://amdm.ru/akkordi/knyazz/144009/odin_kak_ten/,"['Вступление:', 'С петлёй на шее', 'Вдруг он очнулся во мгле,', 'И карты вокруг', 'На залитом ромом ковре.', 'Из пиджака записку вытащил он', 'Свой почерк не без труда смог прочесть,', 'Я свою жизнь сегодня ставлю на кон,', 'Она последнее, что у меня есть!', 'Припев:', 'Вновь один, как тень,', 'Один, как тень,', 'Среди камней надгробных,', 'Он четвёртый день,', 'Четвёртый день,', 'Искал себе подобных.', 'Смотрел, на диск он', 'И столь нелепый итог,', 'Своей дрянной судьбы,', 'Он представить не мог.', 'Ангелам явно наплевать на него,', 'Но он и чёрта повстречать был бы рад.', 'Что же за смерть, такая нет ничего,', 'Ни света божьего, ни адских врат!', 'Припев:', 'Вновь один, как тень,', 'Один, как тень,', 'Среди камней надгробных,', 'Он четвёртый день,', 'Четвёртый день,', 'Искал себе подобных.']"
Панкуха,"['F#5', 'F#m', 'G#m', 'E5', 'F#', 'B', 'C#5', 'D5', 'F', 'Bm', 'C#m', 'Fm']",1744,2,27.01.2021,https://amdm.ru/akkordi/knyazz/180186/pankuha/,"['[Вступление]:', '5:--------7----5---3---2-|', '6:--2-2-2--2-2--2-2-2-2--|   x4', '5:--------7-7-7-6-6-6-4-4-4-|', '6:--2-2-2-------------------|  x3', '5:--------7-7-7-6-6-6-4-4-4-8/9--|', '6:--2-2-2------------------------|', '[Куплет 1]:', 'Как время, мода также быстротечна,', 'Всему выходит срок.', 'Но кто б, что б ни пророчил будет вечно', 'Жить в музыке панк-рок.', 'Если, взрослея, ты рок перерос навсегда,', 'Значит, ты в стиль не врубался, чувак, никогда!', '[Припев]:', 'Хей! попсарям среди нас нет места,', 'Ведь в мире панк-рока веселуха и слэм.', 'Мы дети угара, фанаты протеста,', 'Всё круто и нет проблем!', 'Ни для кого не секрет,', 'Что Punks Not Dead!', 'Ни для кого не секрет,', 'Что Punks Not Dead!', '[Проигрыш]:', 'Punks Not Dead!    x4', '5:--------7-7-7-6-6-6-4-4-4-|', '6:--2-2-2-------------------|   x3', '5:--------7-7-7-6-6-6-4-4-4-8/9-|', '6:--2-2-2-----------------------|', '[Куплет 1]:', 'Есть те, кто говорят, мол, на панк-роке', 'Давно поставлен крест.', 'Все вынесли из прошлого уроки,', 'Изжил себя протест.', 'Но помнишь, о чем толковал в свое время Горшок?', 'Грустно смотреть мне на тех, кто не слушает рок.', '[Припев]:', 'Хей! попсарям среди нас нет места,', 'Ведь в мире панк-рока веселуха и слэм.', 'Мы дети угара, фанаты протеста,', 'Всё круто и нет проблем!', 'Ни для кого не секрет,', 'Что Punks Not Dead!', 'Ни для кого не секрет,', '/', '/', 'Что Punks Not Dead!', '[Кода]:', '/', '/', 'Punks Not Dead!!', 'Punks Not Dead! (Punks Not Dead!)', '5:--------7-7-7-6-6-6-4-4-4--|', '6:--2-2-2--------------------|        x4', 'Punks Not Dead!']"
Пассажир,"['C#m', 'F#m', 'E', 'A', 'B', 'G#', 'G#7', 'C#m7', 'G#m']",26258,34,25.09.2015,https://amdm.ru/akkordi/knyazz/124135/passazhir/,"['Bass вступления: x2', '5)-4-4-7-4--2-2-2-4-7-4--7-4-------2--3-', '6)---------------------------2-4-4--4---', 'Вступление: (Проигрыш 1.): x4', '3)-4-6-4--4-6-4-------6-6-4-|', '4)--------------4-6-2-------|', 'Куплет:', 'Всё больше сумерки сгущались,', 'И я в окне уже не видел ничего.', 'Мы с собеседником общались,', 'Но вскоре вздрогнул я, а всё из-за того,', 'Что никого нет около меня;', 'И я один при свете фонаря,', 'Один при свете фонаря.', 'Припев:', 'Кто тот странный пассажир', 'Полуночного экспресса?', 'Мглы зловещая завеса', 'Скрывала этот мир.', 'Он говорил, я выходил, курил, скучал', 'И что-то отвечал', 'Ему без интереса,', 'Без интереса,', 'Без интереса.', 'Проигрыш 1:', '|', '}x2', 'Помилуй, Бог, я сам с собою', 'Затеял этот беспредметный разговор.', 'Я стал пенять на паранойю,', 'Такого не было со мною до сих пор.', 'Но чёрт возьми! Он снова говорит', 'О том, что больше сердце не болит', 'И что прошёл радикулит.', 'Припев:', 'Кто тот странный пассажир', 'Полуночного экспресса?', 'Мглы зловещая завеса', 'Скрывала этот мир.', 'Он говорил, я выходил, курил, скучал', 'И что-то отвечал', 'Ему без интереса,', 'Без интереса,', 'Без интереса.', 'Проигрыш:', '|', '}x3', '|', 'Воскликнул я: «Ты призрак или нет?»', 'Из прошлого столетия билет', 'Из тьмы на стол упал в ответ.', 'Припев:', 'Кто тот странный пассажир', 'Полуночного экспресса?', 'Мглы зловещая завеса', 'Скрывала этот мир.', 'Он говорил, я выходил, курил, скучал', 'И что-то отвечал', 'Ему без интереса,', 'Без интереса,', 'Без интереса.', 'Без интереса.', 'Без интереса.', 'Кода: x4', '5)-4-4-7-4--2-2-2-4-7-4--7-4-------2--3-', '6)---------------------------2-4-4--4---']"
Пепел города грез,"['Am', 'Em', 'G', 'B', 'C', 'D']",10759,19,04.01.2015,https://amdm.ru/akkordi/knyazz/103458/pepel_goroda_grez/,"['Прежний союз стал роковым', 'Город грез окутал серый дым', 'Рушиться мир, твой идеал', 'Предал и себя не оправдал', 'Мрак и холод,', 'Тлеет город', 'В темной душе, копиться зло', 'Волю своим демонам дала', 'Семя вражды проросло,', 'Безрассудно жжешь мосты до тла', 'Мрак и холод,', 'Тлеет город', 'И сердце огнем пылает', 'И разум злой, туман затмил', 'И снова дым извергает', 'Твой Сайлент Хилл, твой Сайлент Хилл', 'На землю лег ночи покров', 'Нет страшнее жутких моих снов', 'Среди руин, слышу я твой', 'Дикий крик наполненный тоской', 'Мрак и холод', 'Тлеет город', 'И сердце огнем пылает', 'И разум злой, туман затмил', 'И снова дым извергает', 'Твой Сайлент Хилл, твой Сайлент Хилл', 'Надежда бесследно тает,', 'Под черным я застыл дождем', 'Твой город не отпускает,', 'Я снова в нем, я снова в нем', 'Outro:']"
Пивная песня,"['F#', 'Bm', 'G', 'Em7', 'A']",9283,18,07.01.2015,https://amdm.ru/akkordi/knyazz/103745/pivnaya_pesnya/,"['Intro:', 'Куда все дороги', 'В этом городе ведут', 'И где тебе рады?', 'Где тебя все время ждут?', 'В старом немецком кабаке', 'Не захлебнись в пивной реке', 'Ну кто этот парень,', 'Что спешит на встречу нам?', 'Мы все его знаем,', 'Без сомнения, это сам', 'Йохан - веселый пивовар.', 'Всем по душе его товар', 'Чтобы пива много пить', 'Надо Йохана любить,', 'Он тогда тебе нальет', 'Ни копейки не возьмет,', 'Йохан всем нам как родной,', 'Потому что в доску свой!', 'А если приятель', 'Ты немного перепьешь -', 'Это бывает', 'Право, что с тебя возьмешь,', 'Можешь петь и танцевать,', 'Йохан не станет выгонять', 'Чтобы пива много пить', 'Надо Йохана любить,', 'Он тогда тебе нальет', 'Ни копейки не возьмет,', 'Йохан всем нам как родной,', 'Потому что в доску свой!', 'Когда соберешься', 'Ты идти к себе домой', 'То бы наш Йохан', 'Прямо как отец родной', 'Грустно глянет на часы', 'Улыбнется сквозь усы', 'Чтобы пива много пить', 'Надо Йохана любить,', 'Он тогда тебе нальет', 'Ни копейки не возьмет,', 'Йохан всем нам как родной,', 'Потому что в доску свой!', 'Um viel Bier trinken zu konnen,', 'Muss man Gastwirt Johann mogen,', 'Er schenkt dir dann ein', 'und nimmt kein Pfennig dafur ein.', 'Gastwirt Johann ist unser Freund!', 'Was ist er – unser Freund!']"
Пиво-Пиво-Пиво,"['Am', 'C', 'F', 'Dm', 'E', 'G']",8512,47,14.04.2022,https://amdm.ru/akkordi/knyazz/191479/pivo_pivo_pivo/,"['[Вступление]:', 'Этот мир стал злым и дерзким,', 'Как смириться с этим можно.', 'От чего бухнуть мне не с кем,', 'Пью один и мне тревожно.', 'Все приятели сбежали!', 'У них в жизни всё в порядке.', 'Подкаблучниками стали', 'И боятся правды-матки.', '[Припев]:', 'На меня глядит игриво', 'Пиво, пиво, пиво, пиво.', 'Пиво, пиво, пиво, пиво.', 'Пиво, пиво, пиво, пиво.', 'На меня глядит игриво', 'Пиво, пиво, пиво, пиво.', 'Пиво, пиво, пиво, пиво.', 'Пиво, пиво, пиво, пиво.', '[Проигрыш]:', 'Эх, не того душа хотела.', 'Одному похмел не в жилу,', 'Наша туса поредела,', 'Жить все стали по режиму.', 'С кем обмозговать делишки,', 'С кем пообсуждать бакланов,', 'Пацаны читают книжки,', 'Выросли из хулиганов.', '[Припев]:', 'На меня глядит игриво', 'Пиво, пиво, пиво, пиво.', 'Пиво, пиво, пиво, пиво.', 'Пиво, пиво, пиво, пиво.', 'На меня глядит игриво', 'Пиво, пиво, пиво, пиво.', 'Пиво, пиво, пиво, пиво.', 'Пиво, пиво, пиво, пиво.', '[Кода]:']"
Пикник у бани,"['Dm', 'Am', 'Em', 'Bm', 'F#']",4530,4,03.03.2016,https://amdm.ru/akkordi/knyazz/135804/piknik_u_bani/,"['Луной ночью возле бани', 'Парни жарили шашлык', 'Пили брагу, отдыхали', 'Вдруг во тьме раздался крик', 'В бане кто-то оставался', 'Терпеливым молодцом', 'А теперь к окну прижался', 'Полным ужаса лицом', 'Парни смеялись, ну ты жару даешь', 'Не надоело тебе парень потеть?', 'Только не знала за окном молодежь', 'Что там разборка не на жизнь а на смерть, на смерть...', 'Парни на него смотрели,', 'Да и он смотрел на них', 'Стекла в раме запотели,', 'Тут он сгинул и затих', 'Перегрелся бедолага', 'Все решили в тот же миг', 'Продолжала питься брага', 'Начал кушаться шашлык', 'Парни смеялись, ну ты жару даешь', 'Не надоело тебе парень потеть?', 'Только не знала за окном молодежь', 'Что там разборка не на жизнь а на смерть, на смерть...', 'А девчонки, что не пили', 'Притаились у окна', 'Резко хором завопили,', 'Пала в обморок одна', 'На полу валялся парень,', 'Был он красный будто рак', 'Сам себя видать ошпарил', 'С пола встать не мог никак', 'Парни смеялись, ну ты жару даешь', 'Не надоело тебе парень потеть?', 'Только не знала за окном молодежь', 'Что там разборка не на жизнь а на смерть, на смерть...', 'Очень скоро стало ясно', 'Парень в бане не один', 'Кто-то выглядел ужасно', 'И на черта походил', 'Век бы той не слышать брани,', 'Что нечистый издавал', 'С тазом бегал он по бане,', 'Всех водою поливал', 'Парни смеялись, ну ты жару даешь', 'Не надоело тебе парень потеть?', 'Только не знала за окном молодежь', 'Что там разборка не на жизнь а на смерть...', 'С вилами вскоре подошли мужики,', 'Рогатый бросился от них наутек', 'Гнались за ним они до самой реки,', 'А там под землю он с концами убег, убег...']"
Пиковая дама,"['A', 'F#m', 'Hm', 'G', 'D', 'C#', 'E', 'A7']",5050,4,13.01.2015,https://amdm.ru/akkordi/knyazz/104222/pikovaya_dama/,"['Снова в клубе тьма убийц, курил он нервно трубку,', 'Снова карты швырял он в потолок', 'Из-за дыма не видел лиц, и его рассудку', 'Было сложно принять, что вышел срок', 'Покером он одержим с давина', 'Часто был сам не свой', 'Встречей его наказала судьба', 'Трагической и роковой, ой-ой', 'Сколько колод в игровых заведениях', 'Столько жестоко разбитых сердец', 'Кто под вуалью в похмельных виденьях', 'Вновь предвещает бесславный конец', 'Он проклинал беду', 'И повторял в бреду:', '- Готовит место мне', 'Она в аду! Она в аду!', 'В его разум вошла она, пиковая дама,', 'Карты - лучший к азартным душам путь', 'Ей нужна была, как всегда, трагическая драма', 'Своим знаком клеймила его грудь', 'Что происходит, он не понимал', 'Как мог так низко он пасть', 'О белом свете он с ней забывал', 'Видя лишь черную масть,', 'Масть, масть!', 'Резко метнулась рука к пистолету', 'Что-то в бутылке осталось на дне', 'Закончил выстрелом партию эту', 'С пиковой дамой в смертельной игре', 'Он проклинал беду', 'И повторял в бреду:', '- Готовит место мне', 'Она в аду! Она в аду!']"
Пир в замке врага,"['Am', 'Bb', 'G', 'F', 'F#', 'G#', 'E', 'Dm']",3100,2,18.08.2015,https://amdm.ru/akkordi/knyazz/121268/pir_v_zamke_vraga/,"['Если же Вам жизнь, милорд, хоть каплю дорога,', 'Отклоните приглашение своего врага!', 'Что же задумал сосед,  хозяин ближайших земель?', 'То ли вражды больше  нет, то ли какая-то цель?', '«Сын, будь осторожен!» — повторяла мать, —', '«Лучше приглашенье нам не принимать!»', 'Риск есть, конечно, во всем,', 'Можно упасть с коня.', 'Прежний союз мы вернем,', 'Встрече той благодаря.', 'Предкам нашим драться не было нужды.', 'Мы вином задушим очаги вражды.', 'В поле вольный ветер путников заметил,', 'В них узнал людей из северных земель.', 'В замке все готово в честь лорда молодого,', 'Будет пир горой, но стоит ли туда идти, герой?', 'Выпив, сосед начал речь —', 'Храбрость похвальна, милорд!', 'С вами лишь свита и меч,', 'Таких, как вы, любит народ.', 'Против вас на поле боя шансов нет,', 'Вот я и придумал праздничный обед!', 'Нет, не ради мира этого я пира', 'Ждал немало лет, ждал немало лет.', 'Лучшее вино я с вами выпью стоя,', 'А стрелы на десерт, отравленные стрелы на десерт.', 'Проигрыш:', '- 4 раза', 'В ворота замка утром въехал', 'Всадник на коне.', 'Безвольно рухнул и застыл,', 'Приник к сырой земле.', 'И на колени опустилась перед телом мать:', '«Напрасно ты пошел, сынок, к врагу союз искать!»']"
Письмо из Трансильвании,"['Em7', 'D', 'Am', 'C', 'B7', 'Em']",15634,58,25.01.2015,https://amdm.ru/akkordi/knyazz/105248/pismo_iz_transilvanii/,"['Прости Луиза, но в письме', 'Я вынужден сказать', 'Что не судьба отныне мне', 'Таким как прежде стать.', 'В чужом краю запретных врат', 'Не избежал и вот', 'Теперь мне нет пути назад', 'И нет пути вперед.', 'Припев:', 'Чувствую как ты дышишь', 'Примчаться готов', 'Но ты не услышишь за дверью шагов', 'За дверью шагов', 'Полна Румынская земля', 'Зловещих темных тайн', 'Ведут охоту на меня', 'Все жители окраин.', 'Когда я принял этот дар', 'За пять минувших лет', 'Я столько боли испытал', 'Что страха больше нет.', 'Припев:', 'Чувствую как ты дышишь', 'Примчаться готов', 'Но ты не услышишь за дверью шагов', 'За дверью шагов', 'В холодных стенах замка тьмы', 'Я облик изменил', 'Теперь энергию взаймы', 'Беру у древних сил.', 'Поскольку я к тебе привык', 'Хочу забрать с собой', 'Читаешь ты, а в это миг', 'Я за твоей спиной.', 'Припев:', 'Чувствую как ты дышишь', 'Застыв при луне', 'Шагов ты не слышишь мгновения мне', 'Хватит вполне.']"
Подруга анархиста,"['F#m', 'Bm', 'C#m', 'D5', 'A', 'E5', 'G#m', 'D#m', 'B', 'F#']",3680,6,27.01.2021,https://amdm.ru/akkordi/knyazz/180187/podruga_anarhista/,"['[Вступление]:', 'x4', '4:--11-----------9--------------------------------9-11-12-/14/15/14-12-14-~11-|', '5:----9~--9-11-12--12-11-9-12-11-12-11-~9--9-11-12----------------------------|  x2', '[Куплет 1]:', 'Во взгляде пыл, тот парень был безумен, дерзок, нагловат.', 'Но ты решила, будто он тебе, как брат, тебе как брат.', 'Бежала с ним, не оглянувшись, дом покинула родной.', 'Дорога в бесконечность – рай, свобода, пыль за спиной.', '[Припев]:', 'Да к чёрту всё на свете,', 'Лишь друг да ветер,', 'И бешеный мотор.', 'Из жизни чёрно-белой', 'Бежать, стать смелой', 'Судьбе наперекор.', 'x2', '4:--11-----------9--------------------------------9-11-12-/14/15/14-12-14-~11-|', '5:----9~--9-11-12--12-11-9-12-11-12-11-~9--9-11-12----------------------------|', '[Куплет 2]:', 'Смешной была, ты верила, что в его помыслах всё чисто.', 'Вошла в азарт, судьбу, как в покере, поставила на кон.', 'И пожалела, пожалела, что влюбилась в анархиста.', 'Закон не писан для таких, для таких, как он.', '[Припев]:', 'Да к чёрту всё на свете,', 'Лишь друг да ветер,', 'И бешеный мотор.', 'Из жизни чёрно-белой', 'Бежать, стать смелой', 'Судьбе наперекор.', '[Соло]:', 'x4', 'x2', '4:--13-------------11----------------------------------11-13-14-/16/17/16-14-16-~13-|', '5:----11~--11-13-14--14-13-11-14-13-14-13-~11--11-13-14-----------------------------|', '[Куплет 3]:', 'На благородном скакуне ты явно принца не ждала,', 'Ночному волку быстро надоела глупая любовь.', 'Осталась брошена в чужих краях, едва ему дала,', 'Брела с поникшей головой домой, кусая губы в кровь.', '[Кода]:', 'x4']"
Портной,"['Dm', 'A#', 'Gm', 'A', 'F', 'A7']",26379,63,04.11.2015,https://amdm.ru/akkordi/knyazz/127119/portnoy/,"['Intro:', 'Моих трудов плоды себя явили в срок -', 'И после той беды - я сделал всё, что мог!', 'Невзгоды развею в прах, не прячься в моих снах!', 'В руке игла и нить, и я - почти портной.', 'Я плоть восстановить хотел, чтоб быть с тобой;', 'Наперекор судьбе - вернуть тебя себе!', 'Припев:', 'Собрал все части, в пазл сложил -', 'Изрядно пришлось постараться.', 'Танцуй же, танцуй, - ведь я заслужил,', 'Чтоб вечно тобой любоваться;', 'Чтоб вечно тобой любоваться!', 'Звезда должна сиять, и смерть ей не к лицу.', 'Я за тебя воздать был рад хвалу Творцу!', 'Но вынужден брать взаймы теперь у князя тьмы.', 'Припев:', 'Собрал все части, в пазл сложил -', 'Изрядно пришлось постараться.', 'Танцуй же, танцуй, - ведь я заслужил,', 'Чтоб вечно тобой любоваться;', 'Чтоб вечно тобой любоваться!', '|', '|', 'Тебя по частям принёс я домой,', 'Разобранной куклой, но вскоре -', 'В руках моих вновь ты стала живой,', 'И сердце покинуло горе.', 'Я так одержим, и ночью и днём', 'Трудился в безумном экстазе!', 'И тысячи швов на теле твоём -', 'Отныне, как символы связи.', 'Судьбою нам посланной связи.']"
Предвестник,"['F#m', 'C#m', 'G#m', 'E', 'G', 'A', 'Bm', 'D']",4888,3,31.10.2015,https://amdm.ru/akkordi/knyazz/126776/predvestnik/,"['Intro:', '}x2', 'Черный ворон сел под моим окном.', 'Прочь лети, окаянный, накличиш беду.', 'Я пойду прогоню его, ну а потом -', 'Обратно войду в избу.', 'Поглядел я в окно по утру,', 'Кровь размазана по стеклу.', 'Поскорее пойду и сотру,', 'Не к добру это все, не к добру.', 'Припев:', 'Я оберег от беды повесил на входную дверь,', 'После того как следы увидел у избы моей.', 'Сомнений нет - это знак недобрый, тайна растворись!', 'Кем бы ты не был, чужак - не мучай душу, покажись!', 'Осень горькие слезы льёт и льёт,', 'В серых сумерках тоска привязалась.', 'У порога шаги, слышу, кто-то идёт...', 'Нет, похоже, опять показалось...', 'Припев:', 'Я оберег от беды повесил на входную дверь,', 'После того как следы увидел у избы моей.', 'Сомнений нет - это знак недобрый, тайна растворись!', 'Кем бы ты не был, чужак - не мучай душу, покажись!', 'Покажись!', 'Покажись!', 'Outro:', '}3р']"
Призраки Там-тама,"['D', 'Bm', 'G', 'A']",21101,59,29.05.2016,https://amdm.ru/akkordi/knyazz/141863/prizraki_tam_tama/,"['Зачем нужны деньги - чтоб было много пива', 'Похоже сегодня ждёт всех большой угар', 'Ну что за народ бухают без перерыва', 'Под рёв перегруженных панковских гитар', 'Припев:', 'Призраки ""Там-тама"", сыны путей тернистых,', 'Кайф, угар и драма в судьбах анархистов!', 'Все кто здесь бывали, панки хой, кричали,', 'И сегодня много, тех кто пляшет пого!', 'Одет кто во что - у самых крутых косухи', 'Кто лысый, кто носит хаер, кто ирокез', 'Здесь все по натуре все не до показухи', 'К панк-року особый тут интерес', 'Припев:', 'Призраки ""Там-тама"", сыны путей тернистых,', 'Кайф, угар и драма в судьбах анархистов!', 'Все кто здесь бывали, панки хой, кричали,', 'И сегодня много, тех кто пляшет пого!', 'Блуждают среди дворов призраки ночные', 'Брутальные анархисты здесь и шуты', 'И если спросить откуда вы парни чьи вы', 'Послышится дружный хохот из темноты', 'Припев:', 'Призраки ""Там-тама"", сыны путей тернистых,', 'Кайф, угар и драма в судьбах анархистов!', 'Все кто здесь бывали, панки хой, кричали,', 'И сегодня много, тех кто пляшет пого!']"
Проклятие колдуна,"['Cm', 'G', 'Fm', 'G#', 'A#', 'D#', 'F']",8032,6,06.11.2015,https://amdm.ru/akkordi/knyazz/127247/proklyatie_kolduna/,"['Intro:', '}x4', 'Нет, я не рад, в душе разлад.', 'Не жизнь, а сущий ад, ад.', 'Похмелье - зло, паршивый пёс -', 'Отныне мне, как брат, брат.', 'Я раньше, глазом не моргнув,', 'На всех мог порчу насылать.', 'Теперь же участь колдуна', 'Врагу не пожелать!', 'Припев:', 'Если Бог душу решил покарать,', 'Мог бы оставить меня умирать.', 'Лучше принять век страданий в аду,', 'Чем одержимо искать брагу, как в бреду.', '}x4', 'И побираюсь я теперь по миру каждый день, день;', 'Плюю на жалкую свою дурного вида тень, тень.', 'Чтоб дали выпить и еду - я слёзно должен умолять;', 'А раньше - всё, что захочу, мог силой забирать.', 'Припев:', 'Если Бог душу решил покарать,', 'Мог бы оставить меня умирать.', 'Лучше принять век страданий в аду,', 'Чем одержимо искать брагу, как в бреду.', '|', '}x4', 'От смеха плачут Небеса -', 'Нет мочи встать с колен!', 'Забрали власть, а что в замен?', 'Души коварной плен.', 'Позор я рода своего.', 'Хмель разум мой пленил.', 'Даёт под зад, и огрызнуться', 'Не хватает сил!', 'Припев: x2', 'Если Бог душу решил покарать,', 'Мог бы оставить меня умирать.', 'Лучше принять век страданий в аду,', 'Чем одержимо искать брагу, как в бреду.']"
